"","Plant.height","Plant.height.is.missing","Flag.leaf.length","Flag.leaf.length.is.missing","Flag.leaf.width","Flag.leaf.width.is.missing"
"115",99.81818182,0,30.15454545,0,1.372727273,0
"116",129.3333333,0,39.15,0,1.066666667,0
"117",194.3333333,0,36.96666667,0,1.088888889,0
"118",97.5,0,37.69,0,1.04,0
"119",75,0,21.43333333,0,0.766666667,0
"120",157.1,0,27.72,0,1.04,0
"121",70,0,22,0,1.066666667,0
"122",105.9166667,0,31.95,0,1.44375,0
"123",90.66666667,0,30.6342112486207,1,1.22165516956499,1
"124",140.6666667,0,36.8,0,1.558333333,0
"125",107.9,0,34.27,0,1.41,0
"126",81.1,0,30.68,0,1.06,0
"127",153.6666667,0,31.9,0,1.241666667,0
"128",143.8333333,0,31.54166667,0,1.191666667,0
"129",113.3333333,0,24.93333333,0,0.983333333,0
"130",116.8333333,0,24.175,0,0.816666667,0
"131",98.08333333,0,33.29166667,0,1.308333333,0
"132",98.22222222,0,34.24444444,0,1.122222222,0
"133",102.1666667,0,41.4,0,1.066666667,0
"134",134,0,26.28888889,0,1.022222222,0
"135",96.11111111,0,30.78333333,0,1.316666667,0
"136",129.1111111,0,49.44444444,0,0.655555556,0
"137",143.9166667,0,28.92222222,0,0.966666667,0
"138",110.8333333,0,29.87777778,0,1.755555556,0
"139",134.6666667,0,25.29166667,0,1.366666667,0
"140",161,0,36.77916667,0,1.066666667,0
"141",159.4444444,0,34.96666667,0,0.95,0
"142",87.16666667,0,22.09166667,0,1.175,0
"143",88.11111111,0,32.76666667,0,1.033333333,0
"144",151.6666667,0,39.53333333,0,1.544444444,0
"145",116.582638488016,1,30.6342112486207,1,1.22165516956499,1
"146",131.6666667,0,36.75833333,0,1.891666667,0
"147",90,0,24.28888889,0,1.166666667,0
"148",159.75,0,41.88333333,0,1.541666667,0
"149",97.41666667,0,20.725,0,0.816666667,0
"150",112.75,0,31.85833333,0,1,0
"151",126.1666667,0,34.03333333,0,1.0125,0
"152",128,0,32.85,0,1.441666667,0
"153",122.4444444,0,34.07777778,0,1.7,0
"154",117.8333333,0,35.5,0,1.133333333,0
"155",127.4166667,0,32.18333333,0,1.441666667,0
"156",107.0833333,0,38.81666667,0,1.05,0
"157",106,0,27.525,0,1.275,0
"158",120.0833333,0,40.6,0,1.822222222,0
"159",141.6666667,0,22.39166667,0,1.116666667,0
"160",110.6666667,0,26.75,0,1.883333333,0
"161",152,0,27.70833333,0,0.891666667,0
"162",93.75,0,27.35833333,0,1.15,0
"163",120.1818182,0,42.34444444,0,1.877777778,0
"165",95.5,0,31.21666667,0,1.55,0
"166",102,0,36,0,1.1,0
"167",99.6,0,40.5,0,1.5,0
"168",90.83333333,0,21.55833333,0,1.316666667,0
"169",116.0833333,0,35.10833333,0,1.5,0
"170",137,0,30.88888889,0,1.166666667,0
"171",111.25,0,35.88888889,0,1.588888889,0
"172",127.25,0,33.6,0,1.433333333,0
"173",143.8333333,0,35.41666667,0,1.058333333,0
"174",115.3333333,0,29.41666667,0,1.341666667,0
"175",187.8888889,0,37.7,0,1.055555556,0
